[0.001, 60, 0.06388390519753932, 0.007436408810065828, 0.005415637232327656]
[0.005, 60, 0.2847936810741574, 0.0313421661799052, 0.021549222015444257]
[0.01, 60, 0.4965249953178867, 0.05165987728814254, 0.03281624040082652]
[0.05, 60, 1.0459470822144865, 0.09992206237251132, 0.029532706526326634]
[0.1, 60, 1.0944904600208802, 0.11606337874694786, 0.013954910664577878]
[0.5, 60, 1.0964608113924048, 0.12860542637110858, 0.0014142898488272721]
[1, 60, 1.096460811392405, 0.1286172312728717, 0.0014024838851006837]
[5, 60, -7.537700026845529e+36, -7.700373170028898e+51, -7.700373170028891e+51]
[10, 60, -2.2432541278265855e+57, -3.9335227487084964e+71, -3.933522748708495e+71]
[0.75, 40, 1.096460811392405, 0.12860883068816745, 0.0014108855317683982]
